"grp","category","n","p","p100"
"sex","male",465563,0.496028579312814,49.6028579312814
"sex","female",473018,0.503971420687186,50.3971420687186
"age group","65-69y",186515,0.198720195699679,19.8720195699679
"age group","70-74y",215102,0.229177875963822,22.9177875963822
"age group","75-79y",221749,0.236259843316666,23.6259843316666
"age group","80-84y",158438,0.168805888889718,16.8805888889718
"age group","85-89y",103472,0.110243015786597,11.0243015786597
"age group","90+y",53305,0.0567931803435186,5.67931803435186
"Deprivation quintile","1",153671,0.16372694525033,16.372694525033
"Deprivation quintile","2",172396,0.183677274523989,18.3677274523989
"Deprivation quintile","3",198213,0.21118369112522,21.118369112522
"Deprivation quintile","4",209186,0.222874743895306,22.2874743895306
"Deprivation quintile","5",205115,0.218537345205155,21.8537345205155
"ethnicity","White - British",717793,0.764764042741117,76.4764042741117
"ethnicity","White - Irish",9078,0.00967204748444727,0.967204748444727
"ethnicity","White - other groups",22127,0.0235749498444993,2.35749498444993
"ethnicity","Asian - Indian",14740,0.0157045582640177,1.57045582640177
"ethnicity","Asian - Pakistani",7056,0.00751773155433575,0.751773155433575
"ethnicity","Asian - Bangladeshi",1992,0.00212235278574785,0.212235278574785
"ethnicity","Asian - other groups",5860,0.00624346753237067,0.624346753237067
"ethnicity","Black - Caribbean",6361,0.006777252043244,0.6777252043244
"ethnicity","Black - African",3921,0.00417758296833198,0.417758296833198
"ethnicity","Black - other groups",1842,0.00196253706392948,0.196253706392948
"ethnicity","Mixed - White & Black Caribbean",601,0.000640328325418904,0.0640328325418904
"ethnicity","Mixed - White & Black African",334,0.000355856340582219,0.0355856340582219
"ethnicity","Mixed - White & Asian",681,0.000725563377055363,0.0725563377055363
"ethnicity","Mixed - other groups",1158,0.00123377737243775,0.123377737243775
"ethnicity","Chinese",1662,0.00177075819774745,0.177075819774745
"ethnicity","Other groups",10025,0.0106810174081939,1.06810174081939
"ethnicity","Not stated / known",133350,0.142076176696524,14.2076176696524
