"","termGrp","term","termLabel","or_unadj","lcl95_unadj","ucl95_unadj","p.valueUnadj","or_adj","lcl95_adj","ucl95_adj","p.value"
"1","ICB","icbShortNameCambridgeshire & Peterborough (ref)","Cambridgeshire & Peterborough (ref)",1,NA,NA,NA,1,NA,NA,NA
"2","ICB","icbShortNameBath, NE Somerset, Swindon & Wiltshire","Bath, NE Somerset, Swindon & Wiltshire",1.06858561086615,1.01179649229733,1.12856213323838,0.0172694435953335,1.12058118949474,1.04820355344236,1.19795644474362,0.000831914432764538
"3","ICB","icbShortNameBedfordshire, Luton & Milton Keynes","Bedfordshire, Luton & Milton Keynes",0.896994159621755,0.848174635636837,0.948623654362666,0.000140528232331836,0.807412786024433,0.753205601528715,0.865521187989843,1.60808684858857e-09
"4","ICB","icbShortNameBirmingham & Solihul","Birmingham & Solihul",0.977134733719453,0.926890998013799,1.03010201834625,0.390436189433633,0.862015882491099,0.807275333231137,0.920468334753583,9.17574374508497e-06
"5","ICB","icbShortNameBlack Country","Black Country",1.30229423682081,1.2392903163498,1.36850119530668,1.63338701664037e-25,1.18272070257077,1.11243337067981,1.25744902765249,7.93439400412157e-08
"6","ICB","icbShortNameBristol, N Somerset, Swindon & S Gloucestershire","Bristol, N Somerset, Swindon & S Gloucestershire",0.67111640467316,0.633008082385028,0.71151892235631,8.90841773876458e-41,0.695525624271652,0.648113624426689,0.746405993927986,6.7873265894712e-24
"7","ICB","icbShortNameBuckinghamshire, Oxfordshire &  W Berkshire","Buckinghamshire, Oxfordshire &  W Berkshire",0.967986697550932,0.920727357826862,1.01767177728606,0.202641402399724,0.973949709166285,0.915757659877959,1.03583958676524,0.401047124189331
"8","ICB","icbShortNameCheshire & Merseyside","Cheshire & Merseyside",1.15423774515355,1.10373491327512,1.20705140003583,3.30241585981393e-10,1.16103889612848,1.09879759716517,1.22680584832095,1.08716057176721e-07
"9","ICB","icbShortNameCornwall & Isles of Scilly","Cornwall & Isles of Scilly",1.07908345773001,1.0168927571895,1.14507759103803,0.0119669485790049,1.14147007382323,1.06114481571202,1.2278756962684,0.000379206716928701
"10","ICB","icbShortNameCoventry & Warwickshire","Coventry & Warwickshire",0.828158971962375,0.784195483781343,0.8745871367872,1.24347618210799e-11,0.731388397236599,0.683068224390894,0.783126733920801,2.96110438238339e-19
"11","ICB","icbShortNameDerby & Derbyshire","Derby & Derbyshire",1.46099734243108,1.39071927523047,1.53482681415842,2.43671760311314e-51,1.38681969001535,1.30463311309502,1.47418368682337,9.44066493624013e-26
"12","ICB","icbShortNameDevon","Devon",0.456355175325531,0.431282646209182,0.482885290834043,4.91519829936741e-163,0.495958315096086,0.463793666716813,0.530353620510169,2.21451400714627e-93
"13","ICB","icbShortNameFrimley","Frimley",0.823054603506198,0.750169966094794,0.903020529972996,3.84975554298563e-05,0.824663961303859,0.735593093077041,0.924520166752227,0.000947110443374486
"14","ICB","icbShortNameGloucestershire","Gloucestershire",0.523273353921277,0.488060150610033,0.561027165569198,3.49420631869086e-74,0.704113552276996,0.649873232030683,0.762880928255747,9.68908538616996e-18
"15","ICB","icbShortNameGreater Manchester","Greater Manchester",0.499175700976756,0.475688710594023,0.523822354611848,1.18749254577042e-175,0.518083945200982,0.488679835464402,0.549257314904221,7.74241159933439e-108
"16","ICB","icbShortNameHampshire & Isle of Wight","Hampshire & Isle of Wight",0.828591098848127,0.789889659611298,0.869188754070033,1.31303541146952e-14,0.808195120053151,0.762032970996458,0.857153662555583,1.27734254130163e-12
